"Copyright","Copyright"
"All rights reserved","Alle rettigheder forbeholdes."
"Hi","Hej"
"User","Bruger"
"Products","Produkter"
"About Us","Om os"
"Our Services","Vore services"
"Contact Us","Kontakt Os"
"Regular Price","Normal pris"
"Special Price","Specialpris"
"Save on bulk purchase","Spar på bulk-køb"
"Buy any","Køb nogen"
"bottles","flasker"
"Special Offer","særtilbud"
"Sort by","Sorter efter"
"View More","se mere"
"Add to Cart","Tilføj til kurv"
"Review this Product","Bedømme dette produkt"
"Add Your Review","Tilføj din anmeldelse"
"Home","Forside"
"New Arrivals","nyankomne"
"My Account","min konto"
"Item","Item"
"ADD BOTTLES TO YOUR CART","ADD FLASKER til din indkøbsvogn"
"GET A","GET A"
"SPECIAL PRICE","SPECIAL PRIS"
